00000018	2.49116516	1.72029102	-4.42339945	4.85161114	5.07208443	7.32594442	0.32953125	0.12331055	-0.69186914
00000019	0.36596271	2.06317306	-1.83525085	5.79940653	5.60169935	6.27030897	0.26540625	0.18407227	-0.67813480
00000020	0.50566769	2.41426635	-2.06683493	3.25677419	5.90844488	7.69379950	0.16031250	0.16798829	-0.62834764
00000021	0.23280466	2.89896178	-0.87684578	2.38326859	6.34819317	7.44337034	0.11043750	0.13582031	-0.60431248
00000022	0.31580651	4.16984415	-1.03031039	-0.14498517	8.12276363	9.50431633	0.02493750	0.15369141	-0.52877343
00000023	-0.47825933	1.72295415	1.90859866	-0.39541408	8.61882877	9.17240810	-0.00356250	0.13939454	-0.48757032
00000024	-0.34820831	2.13751960	1.44587445	-3.17888951	5.30813456	9.06816292	0.04275000	0.15369141	-0.49443752
00000025	-2.08470011	0.19485462	3.26015282	-0.73331338	10.09264469	8.47024918	0.10331250	0.18228516	-0.45666796
00000026	-2.95755124	0.49457118	5.65999365	2.84338665	8.57209778	7.11026430	0.16743751	0.21445313	-0.52190626
00000027	-1.79264021	0.52730584	2.63641834	-2.84698129	-2.54862356	3.75283909	0.29746875	0.23768555	-0.59916210
00000028	-3.76903844	0.27619198	3.92572117	4.49454021	8.09520435	11.24653530	0.31884375	0.24483399	-0.62663084
00000029	-0.13892823	-0.56004053	1.27221417	-1.27970374	0.49965960	10.20288181	0.41681251	0.16441406	-0.65925002
00000030	-4.35371351	-0.80360883	3.73286390	2.31377149	2.30897856	8.98548508	0.43640625	0.15905273	-0.69530272
00000031	-4.41929388	-1.34911299	3.57762384	3.26276517	-0.75368321	8.52656555	0.54150003	0.05003906	-0.73135549
00000032	-2.77434802	-0.39026403	1.99681592	1.20781028	-2.43359399	8.14552975	0.57534373	-0.01608398	-0.78457618
00000033	-4.13233805	-0.19385593	3.15162897	0.15816563	-6.89218712	5.94199514	0.59493750	-0.13939454	-0.77255863
00000034	-2.75748134	-0.50122911	1.81538808	-0.06710057	-8.91479015	5.28536844	0.58603126	-0.23053712	-0.78114259
00000035	-3.07783723	-0.15978965	2.01656771	0.40020698	-6.95449495	4.69823837	0.61631250	-0.31095704	-0.74165624
00000036	-2.56872964	-0.35209209	1.25323915	0.17374255	-8.30010128	3.81035399	0.62521875	-0.37708008	-0.74680662
00000037	-3.73119950	-0.29527798	1.71252346	-1.31085753	-6.86103344	3.38618231	0.60740626	-0.43426758	-0.67470115
00000038	-3.38931608	-0.30792800	0.68975872	-5.53939199	-12.88091373	-2.63609385	0.57890624	-0.50932616	-0.64379883
00000039	-3.92272520	-1.04251659	-0.55038661	-2.69480681	-7.28640318	-0.92742574	0.58425003	-0.57544923	-0.55967581
00000040	-4.28902054	-1.58036411	0.01564607	-1.11315060	-9.25508595	-5.01696587	0.62878126	-0.58795899	-0.48241994
00000041	-2.85435367	0.65513760	-1.74658978	-2.82301688	-9.99558830	-4.88156652	0.63768750	-0.58617187	-0.36052734
00000042	-4.17849970	-1.32691991	-2.97730303	0.22286975	-3.68813491	-6.18523502	0.70537502	-0.54685545	-0.29185548
00000043	-4.86315393	1.08690262	-2.13574409	0.64224833	-6.22477627	-8.73865128	0.74456251	-0.48966798	-0.17854688
00000044	-3.80942988	0.52331114	-3.55587482	1.52893448	-3.19207001	-9.53547096	0.78196877	-0.41639650	-0.18713087
00000045	-2.85879230	2.63120294	-4.16884565	5.12240982	-1.65714443	-12.35369492	0.82115626	-0.30916992	-0.14936133
00000046	-2.80042481	2.41237998	-3.41694641	6.78913975	1.42948186	-9.23831081	0.86746877	-0.19122070	-0.19056445
00000047	-2.69800401	3.32162762	-2.61844206	4.91032410	1.77217400	-7.64347410	0.89953125	-0.11616211	-0.28327149
00000048	-2.95144820	3.48685455	-1.15059650	8.01013088	3.12736583	-7.49369574	0.86212498	-0.07148437	-0.36052734
00000049	-3.09692335	4.58596325	-0.80715972	9.33177280	6.28348923	-4.20097494	0.83362502	-0.05003906	-0.50473827
00000050	-3.11678600	4.30533266	-0.34432453	7.52245331	6.44884443	-3.44968820	0.79978126	-0.02680664	-0.60602933
00000051	-3.64098501	4.21245480	-0.18986118	8.32047081	6.76637363	-0.32112417	0.69646877	-0.05540039	-0.69186914
00000052	-2.85601830	4.01249599	1.24358523	9.68644714	4.68985081	-0.06949702	0.66262501	-0.12509766	-0.75539064
00000053	-3.36168599	4.43216562	2.44211864	6.50156593	7.11985016	3.49282432	0.50765628	-0.18764649	-0.82577932
00000054	-2.86545014	3.85481453	1.59179354	5.46869659	3.93377090	8.12755680	0.42750001	-0.27164063	-0.83779687
00000055	-2.45820856	3.57673621	3.31508064	3.92538333	1.79014742	7.52365160	0.32418752	-0.35384765	-0.81032813
00000056	-2.55297279	2.81274176	2.75160003	4.71860790	-0.32112417	7.13063383	0.21731250	-0.37886718	-0.79316014
00000057	-1.56349742	2.31506371	4.79124832	3.85229182	0.19411236	10.19808865	0.08906250	-0.34312502	-0.74165624
00000058	-0.92356205	2.17879868	6.51875210	0.62427497	-1.95550239	8.87165451	0.03918750	-0.30380860	-0.71418750
00000059	-0.17943047	0.87806636	6.34975243	-0.60031044	-0.78843170	10.01595879	-0.04987500	-0.16083984	-0.66611719
00000060	2.30219173	-0.63871479	6.14036131	-2.03937817	-0.70815068	9.46836948	-0.02315625	-0.05897461	-0.66783398
00000061	2.55352759	-1.61265492	4.46112728	-2.55341649	2.24307632	10.80319214	0.03918750	0.06791016	-0.66611719
00000062	-0.58212262	-2.98029900	4.45080757	-2.48511767	5.22186232	13.05225945	0.15140626	0.15905273	-0.66440040
00000063	-3.10180569	-2.49737930	5.16176081	-0.58593178	1.25813568	8.86326694	0.20662500	0.16441406	-0.70045310
00000064	-3.52757859	-3.18347597	3.92993784	0.87829858	-1.69189298	9.14724541	0.40078124	0.09829102	-0.75024027
00000065	-4.27437353	-3.24184370	4.29678822	4.01764679	-3.47245455	8.02211285	0.50409377	0.04467773	-0.77427542
00000066	-4.81133318	-2.17857671	4.38278627	0.94060624	-3.68693686	5.96955442	0.63412499	-0.07863282	-0.78972656
00000067	-5.20093155	-2.51768589	3.30209756	3.31908178	-5.14517593	3.62462902	0.66618752	-0.21802734	-0.75539064
00000068	-5.11604309	-2.06750059	3.49783993	-3.49881554	-10.46049976	-1.35998476	0.67509377	-0.41282228	-0.65066600
00000069	-4.42217875	-2.51946115	1.68555892	3.70970297	-6.76397705	-0.89147902	0.69290626	-0.47000977	-0.58886135
00000070	-3.69924164	-1.15603375	0.22426035	-2.34492540	-7.97658062	-2.60134530	0.70359373	-0.51647460	-0.46181837
00000071	-4.59262085	-1.40981078	0.93832040	-1.95789886	-8.08082581	-6.97246838	0.72496873	-0.56293947	-0.37597853
00000072	-5.19050074	-0.51321334	-1.25190759	-2.61212945	-4.64911079	-6.21519041	0.70181251	-0.58259767	-0.25751954
00000073	-3.94225502	-0.51543260	-1.07292092	1.27011800	-7.82200956	-10.62465668	0.70181251	-0.52183592	-0.15794532
00000074	-3.03911042	0.58855855	-0.53229928	-0.24204135	-3.45687771	-8.77579594	0.71962500	-0.46464846	-0.12017578
00000075	-2.09646249	0.00887720	-1.11286843	-0.68538439	-4.32319403	-10.32989311	0.72853124	-0.44856447	-0.07725586
00000076	-2.75226593	0.28895298	-0.40258116	0.18093190	-0.63266253	-10.19329548	0.74278128	-0.36635742	-0.07038867
00000077	-1.46296310	1.76456606	-1.52088690	1.30846119	-3.27954054	-11.78693390	0.75346875	-0.31274414	-0.06008789
00000078	-0.78907239	2.82250667	-1.89428425	4.59279442	-2.11486626	-11.11233425	0.77128124	-0.25555664	-0.07382227
00000079	-0.16689143	4.71479368	-0.94919497	5.09964323	-0.87470388	-10.61746693	0.82293749	-0.23589844	-0.12360938
00000080	-0.07001894	5.11704206	-0.38527063	5.40279436	-1.65834272	-12.04095745	0.88349998	-0.21802734	-0.24378516
00000081	-0.03129214	4.97744799	-0.58445287	7.47332621	0.28877211	-7.86394739	0.89775002	-0.21087891	-0.33305860
00000082	-0.67466742	5.60051632	1.02698147	8.38158035	0.09585796	-7.54881430	0.87993753	-0.21802734	-0.48070312
00000083	-1.04906344	5.94350958	0.12583436	9.34615135	0.30674547	-4.01405191	0.85143751	-0.20730469	-0.59401172
00000084	-0.58079100	5.01983643	1.36575770	9.62054443	-0.18572479	-1.00531030	0.72675002	-0.21802734	-0.70045310
00000085	-0.44940841	5.85573626	0.13559929	7.22409534	-0.51763296	0.59431934	0.65906250	-0.25019532	-0.75882423
00000086	-0.84699613	4.81188822	0.97327435	10.16933155	-0.58233708	2.71038389	0.49696875	-0.26627931	-0.82234573
00000087	-0.15668264	5.18251133	0.27585909	5.70235014	-0.53081346	6.05822325	0.37406251	-0.24304688	-0.84123045
00000088	-0.49434924	4.57109404	1.80140650	4.89115238	-1.57806170	6.81310463	0.23156250	-0.25019532	-0.82749611
00000089	0.40191537	4.39854336	0.61064065	2.39525080	-1.74701130	8.05925751	0.14962500	-0.24662110	-0.82406253
00000090	0.25932530	3.71144772	1.06149161	0.58713001	-1.12273633	8.99866581	0.00178125	-0.21266602	-0.72963870
00000091	0.35475522	3.94014668	1.07391965	-0.72492582	-0.56556195	9.20116615	-0.03562500	-0.22875001	-0.67298436
00000092	-0.07301500	2.44478178	2.47174621	-2.88053179	-0.92982221	7.74172831	-0.10509375	-0.17334960	-0.58886135
00000093	0.75744736	2.45521259	2.79276824	-4.65510225	0.45891997	8.70629883	-0.11756250	-0.12867187	-0.53907424
00000094	0.55282784	1.93190134	3.22641945	-4.61316442	1.09278071	7.14501286	-0.09796875	-0.05182617	-0.50645506
00000095	0.65813363	1.69732130	3.48596668	-5.72990942	3.69652247	10.22085476	-0.10331250	0.03931641	-0.44293359
00000096	1.10177183	-0.26032397	4.42617369	-7.04316378	2.98957014	6.94011641	-0.00534375	0.11973633	-0.42404884
00000097	-1.31338227	-0.53940105	5.25097656	-4.25729179	8.66316319	8.81294155	0.00712500	0.16441406	-0.44293359
00000098	-0.71605742	-0.99236035	4.25706291	-3.72767639	2.37488103	6.32303047	0.12646875	0.22338867	-0.45151758
00000099	-1.93922508	0.30515385	4.18249416	-1.38994038	6.46921396	7.79205370	0.22621875	0.26985353	-0.47555274
00000100	-1.90826583	-0.50555670	4.73554420	-1.29528069	6.94251251	8.73745346	0.31171876	0.25198242	-0.50988865
00000101	-3.05852938	-0.06502552	6.07788801	-0.01318047	8.61882877	7.90708351	0.47025001	0.24662110	-0.53220701
00000102	-3.92505550	0.14802736	4.01371670	1.44745517	2.01181889	8.87165451	0.55396873	0.18764649	-0.59572852
00000103	-4.95203686	0.35764033	4.11580420	0.05392010	1.66073918	10.05789661	0.63768750	0.08578125	-0.64894921
00000104	-4.44747877	-0.40213731	3.54577684	1.18863869	-2.11846089	7.56439114	0.69646877	-0.04110352	-0.71247071
00000105	-4.42295551	0.80882418	4.23975229	0.81479263	-2.29699636	7.05634403	0.73031253	-0.18585938	-0.71075392
00000106	-4.94937372	-0.72937322	3.20921993	-3.08782458	-2.77628613	6.85144758	0.69112504	-0.30380860	-0.71418750
00000107	-6.42520857	-0.48447338	3.81397939	-5.08167028	-5.88567877	2.69840145	0.65728128	-0.47715822	-0.63006449
00000108	-5.50264549	-0.22281779	2.89463401	-5.14277935	-4.56643343	1.49178946	0.65193748	-0.54328126	-0.55967581
00000109	-4.56698799	0.24001738	-0.03240179	-5.09724712	-9.75115108	-3.64979172	0.58246875	-0.62012696	-0.41718164
00000110	-4.38045597	0.91734797	0.64104503	-5.08526468	-10.29514503	-5.69635916	0.59493750	-0.64693362	-0.30558985
00000111	-5.26806545	0.79317808	-1.12074685	-5.27458429	-3.25198126	-3.68933320	0.56465626	-0.59868163	-0.19399805
00000112	-6.21282148	0.90447605	-0.33844337	-0.25282538	-5.51542711	-8.15751266	0.61453128	-0.57366210	-0.12875977
00000113	-5.78172255	1.28031468	-0.23935159	-5.71433258	-2.50668573	-10.31551456	0.60918748	-0.43962890	-0.02403516
00000114	-4.31853724	0.86020100	-1.53786445	1.08079851	-3.12856412	-12.21350193	0.63056248	-0.38244140	0.00343359
00000115	-3.04432583	3.00804043	0.33289513	-3.98649287	-3.57310534	-12.33092785	0.66084373	-0.25913087	0.01201758
00000116	-2.28055358	3.15151811	-0.71417099	4.85041285	3.01593113	-10.10342884	0.71071875	-0.21981445	-0.01545117
00000117	-1.97795188	4.18571234	-0.02707547	-0.33909753	0.56676018	-10.59110641	0.79621875	-0.15905273	-0.06352148
00000118	-1.98949218	4.16762495	-0.85087991	4.74856377	3.70251369	-8.21622562	0.83718753	-0.13582031	-0.14764453
00000119	-2.26956797	4.38822365	1.46085477	6.04983568	2.18795800	-10.39819241	0.88171875	-0.13403320	-0.24550195
00000120	-1.83580565	5.00041771	1.33857131	7.08150673	5.26499844	-6.76277924	0.89062500	-0.14296874	-0.32275781
00000121	-1.77932441	4.74342251	2.91616130	10.02913857	4.15304613	-8.02570724	0.87815624	-0.21266602	-0.46525195
00000122	-1.55595183	5.37370396	2.44400501	9.05498219	5.87968779	-1.77576864	0.83184373	-0.23053712	-0.54765821
00000123	-1.51689208	4.47877073	3.33771753	7.67702436	1.68110895	-0.02755916	0.74456251	-0.31453127	-0.64894921
